playerid,total_spent_usd
523048,213.88
523118,519.88
523144,133.92
523163,0.0
523203,4228.2
523376,393.8
523389,259.9
523392,189.92
523433,249.88
523452,393.78
523486,379.92
523489,551.76
523491,709.8
523522,539.76
523609,479.82
523615,2957.54
523656,277.84
523698,249.85999999999999
523715,1908.38
523743,883.52
523969,299.85999999999996
523987,99.94
524034,63.959999999999994
524059,211.86
524070,139.92
524074,87.94
524113,139.92
524175,163.89999999999998
524189,39.98
524191,259.85999999999996
524223,905.64
524244,163.88
524271,292.78
524276,31.98
524312,163.94
524358,1032.26
524372,789.74
524399,189.89999999999998
524434,39.98
524460,1917.02
524521,373.76
524553,579.84
524579,781.38
524630,191.9
524652,4014.42
524658,2371.06
524665,6380.56
524720,109.96000000000001
524739,79.96
524743,299.9
524765,229.9
524771,679.6999999999999
524791,2023.34
524796,7807.46
524927,119.96000000000001
524932,67.94
524951,389.84
524990,269.9
525021,1492.08
525024,39.98
525061,223.9
525111,1527.78
525157,239.88
525171,471.78000000000003
525277,349.9
525296,29.98
525297,99.96
525357,783.74
525372,363.82
525383,358.6
525409,4760.5
525437,283.88
525472,163.89999999999998
525486,1529.4
525507,1859.34
525515,5969.28
525519,299.84
525570,335.82
525593,221.92
525601,3900.22
525647,79.96
525654,239.89999999999998
525661,163.92
525662,163.89999999999998
525694,903.72
525738,533.8199999999999
525800,723.74
525803,601.5799999999999
525822,63.959999999999994
525830,139.92
525840,5075.4
525878,131.9
525978,219.88
526005,2213.22
526054,263.85999999999996
526093,109.94
526108,239.94
526141,251.85999999999999
526172,99.96000000000001
526233,823.76
526240,1176.56
526260,269.88
526287,119.94
526335,119.96000000000001
526337,299.88
526376,797.64
526384,1157.56
526387,384.8
526420,373.84
526498,203.88
526541,1487.46
526599,159.96
526618,239.9
526629,79.96
526774,3495.92
526808,443.88
526833,139.9
526850,159.9
526857,455.78
526869,389.86
526926,203.9
526929,893.52
526997,261.88
527022,399.88
527078,119.94
527129,463.86
527138,29.98
527162,659.82
527196,417.76
527197,477.74
527225,392.71999999999997
527260,79.96
527304,509.76
527307,33402.56
527335,169.94
527356,303.84
527392,133.92
527407,213.85999999999999
527452,173.92000000000002
527470,0.0
527509,301.84
527544,179.9
527570,493.84000000000003
527579,237.84
527590,79.96
527628,79.96
527638,39.98
527782,163.92
527818,336.71999999999997
527855,2994.52
527876,19.98
527909,299.92
528007,508.7
528023,149.94
528036,991.62
528037,358.68
528068,2023.3
528070,145.92
528100,169.89999999999998
528214,11088.2
528286,1578.92
528310,8706.76
528311,103.96000000000001
528375,389.79999999999995
528394,119.96000000000001
528426,583.84
528467,689.76
528480,579.84
528536,629.76
528541,139.94
528544,485.72
528545,259.94
528616,209.89999999999998
528699,167.89999999999998
528762,673.72
528764,3189.0
528787,8653.5
528798,2831.5
528834,243.84
528844,199.92
528921,379.84
529009,589.82
529016,119.96000000000001
529036,394.86
529057,59.96
529084,449.71999999999997
529145,39.98
529228,969.6
529367,523.82
529390,703.62
529394,209.85999999999999
529402,119.96000000000001
529407,837.64
529475,479.82
529533,119.91999999999999
529571,439.84
529580,209.89999999999998
529583,283.88
529584,139.92
529651,559.8
529753,1445.66
529778,109.9
529787,79.96
529800,479.76
529819,457.84000000000003
529856,639.78
529861,1499.3799999999999
529868,1203.6
529890,363.68
529911,425.7
529928,2384.08
529958,935.66
529973,0.0
529981,2466.84
530023,303.82
530146,253.85999999999999
530156,419.88
530175,223.85999999999999
530181,349.9
530222,309.9
530258,139.96
530277,309.86
530289,183.88
530329,449.8
530350,59.96
530390,99.96000000000001
530441,249.85999999999999
530460,299.9
530466,359.86
530544,513.78
530555,2626.92
530556,1427.54
530599,253.82
530605,428.7
530755,7507.38
530783,159.94
